"© Blast Motion. All rights reserved.","","","","","","","","","","","","","","","","","","",""
"NOTE:  Access to and use of this data is subject to the Blast Motion terms of use and end user license agreement, which can be found at https://blastmotion.com/terms-of-service/","","","","","","","","","","","","","","","","","","",""
"E-mail:","dspopham96@gmail.com","","","","","","","","","","","","","","","","","",""
"Academy:","Blast Baseball Academy","","","","","","","","","","","","","","","","","",""
"Report Date:","05/23/2020 10:59 PM","","","","","","","","","","","","","","","","","",""
"Date Range:","04/24/2020 - 05/08/2020","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Date","Equipment","Handedness","Swing Details","Plane Score","Connection Score","Rotation Score","Bat Speed (mph)","Rotational Acceleration (g)","On Plane Efficiency (%)","Attack Angle (deg)","Early Connection (deg)","Connection at Impact (deg)","Vertical Bat Angle (deg)","Power (kW)","Time to Contact (sec)","Peak Hand Speed (mph)","Exit Velocity (mph)","Launch Angle (deg)","Estimated Distance (feet)"
"May 02, 2020 / 4:07:25 PM","Bat 33 in / 30 oz","Right","Tee","21","55","53","75","14.3","37","12","102","82","-41","4.59","0.16","23.8","","",""
"May 02, 2020 / 4:07:08 PM","Bat 33 in / 30 oz","Right","Tee","40","60","60","75.9","16.9","57","6","99","84","-42","4.96","0.15","23.6","","",""
"May 02, 2020 / 4:06:33 PM","Bat 33 in / 30 oz","Right","Tee","44","58","56","72.1","15.6","61","10","99","82","-41","4.24","0.16","22.6","","",""
"May 02, 2020 / 4:06:16 PM","Bat 33 in / 30 oz","Right","Tee","43","49","64","81.2","18.7","59","17","107","81","-38","5.68","0.15","23.9","","",""
"May 02, 2020 / 4:05:59 PM","Bat 33 in / 30 oz","Right","Tee","35","58","59","78.1","16.5","51","10","98","81","-37","5.12","0.15","23.8","","",""
"May 02, 2020 / 4:05:30 PM","Bat 33 in / 30 oz","Right","Tee","53","50","64","76.6","18.5","70","14","104","80","-39","5.06","0.15","24.1","","",""
"May 02, 2020 / 4:05:16 PM","Bat 33 in / 30 oz","Right","Tee","57","61","66","74.2","19.5","74","3","101","87","-45","4.87","0.14","24.3","","",""
"May 02, 2020 / 4:05:02 PM","Bat 33 in / 30 oz","Right","Tee","32","57","58","71.6","16.2","49","14","89","75","-41","4.13","0.16","24.1","","",""
"May 02, 2020 / 4:04:48 PM","Bat 33 in / 30 oz","Right","Tee","48","63","62","68.6","17.7","64","11","97","84","-43","3.9","0.15","23.8","","",""
"May 02, 2020 / 4:04:16 PM","Bat 33 in / 30 oz","Right","Tee","32","58","60","72.9","17","49","16","95","78","-39","4.24","0.16","23.2","","",""
"May 02, 2020 / 4:03:59 PM","Bat 33 in / 30 oz","Right","Tee","37","54","64","79.1","18.8","54","11","102","81","-35","5.39","0.15","23.7","","",""
"May 02, 2020 / 4:03:42 PM","Bat 33 in / 30 oz","Right","Tee","35","55","59","72.7","16.5","52","12","101","81","-39","4.49","0.15","23.8","","",""
"May 02, 2020 / 4:03:13 PM","Bat 33 in / 30 oz","Right","Tee","28","62","52","81.7","13.6","44","7","91","79","-31","5.67","0.15","21.5","","",""
"May 02, 2020 / 4:02:54 PM","Bat 33 in / 30 oz","Right","Tee","36","53","57","82.8","15.6","52","10","94","73","-33","6.25","0.14","22.9","","",""
"May 02, 2020 / 4:02:34 PM","Bat 33 in / 30 oz","Right","Tee","37","56","46","79.9","11.3","53","15","93","74","-35","5.35","0.15","22.1","","",""
"May 02, 2020 / 4:02:17 PM","Bat 33 in / 30 oz","Right","Tee","35","55","46","76.2","11.2","51","12","104","85","-38","4.87","0.15","22.7","","",""
"May 02, 2020 / 4:02:02 PM","Bat 33 in / 30 oz","Right","Tee","42","57","61","72.4","17.3","58","13","93","75","-40","4.39","0.15","23","","",""
"May 02, 2020 / 4:01:46 PM","Bat 33 in / 30 oz","Right","Tee","32","56","55","73.6","14.8","48","14","92","74","-41","4.43","0.16","23.6","","",""
"May 02, 2020 / 4:01:31 PM","Bat 33 in / 30 oz","Right","Tee","50","64","58","70.5","16.1","67","9","91","80","-45","4.23","0.15","22.7","","",""
"May 02, 2020 / 4:01:14 PM","Bat 33 in / 30 oz","Right","Tee","53","62","45","69.4","10.8","70","6","90","79","-45","3.89","0.16","22","","",""
"May 02, 2020 / 4:01:01 PM","Bat 33 in / 30 oz","Right","Tee","40","58","52","67.2","13.8","57","13","102","85","-43","3.65","0.16","21.1","","",""
"May 02, 2020 / 4:00:38 PM","Bat 33 in / 30 oz","Right","Tee","44","65","55","65.1","14.9","60","11","93","81","-42","3.34","0.16","21.9","","",""
"May 02, 2020 / 4:00:14 PM","Bat 33 in / 30 oz","Right","Tee","39","62","54","69.7","14.6","55","10","98","84","-39","3.97","0.16","21.6","","",""
"May 02, 2020 / 3:59:56 PM","Bat 33 in / 30 oz","Right","Tee","36","59","42","62.9","9.4","53","13","86","78","-41","3","0.17","19.7","","",""
"April 30, 2020 / 7:47:38 PM","Bat 33 in / 30 oz","Right","Tee","48","70","61","74.6","17.2","64","5","91","83","-42","5","0.14","23.9","","",""
"April 30, 2020 / 7:47:24 PM","Bat 33 in / 30 oz","Right","Tee","37","64","69","74.6","20.6","53","8","93","80","-41","4.86","0.15","24","","",""
"April 30, 2020 / 7:47:08 PM","Bat 33 in / 30 oz","Right","Tee","31","55","57","74.5","16","47","10","105","86","-41","4.78","0.15","23.5","","",""
"April 30, 2020 / 7:46:54 PM","Bat 33 in / 30 oz","Right","Tee","45","55","64","73.3","18.5","62","14","99","80","-39","4.57","0.15","22.9","","",""
"April 30, 2020 / 7:46:33 PM","Bat 33 in / 30 oz","Right","Tee","35","66","59","72.9","16.4","52","8","92","81","-42","4.46","0.15","22.7","","",""
"April 30, 2020 / 7:46:19 PM","Bat 33 in / 30 oz","Right","Tee","39","63","57","68.2","15.8","56","8","97","84","-43","3.8","0.16","22.6","","",""
"April 30, 2020 / 7:46:04 PM","Bat 33 in / 30 oz","Right","Tee","25","60","51","67.8","13.2","41","8","99","84","-44","3.7","0.16","22.4","","",""
"April 30, 2020 / 7:45:47 PM","Bat 33 in / 30 oz","Right","Tee","23","67","57","68.2","15.8","40","6","93","82","-40","3.71","0.16","24.2","","",""
"April 30, 2020 / 7:45:31 PM","Bat 33 in / 30 oz","Right","Tee","29","70","49","69.8","12.6","45","4","94","84","-45","3.93","0.16","23.2","","",""
"April 30, 2020 / 7:45:18 PM","Bat 33 in / 30 oz","Right","Tee","42","54","60","69.6","17.1","58","9","83","76","-43","4.11","0.15","23.1","","",""
"April 30, 2020 / 7:45:04 PM","Bat 33 in / 30 oz","Right","Tee","51","67","58","70.7","16.2","68","9","90","81","-45","4.25","0.15","23.4","","",""
"April 30, 2020 / 7:44:48 PM","Bat 33 in / 30 oz","Right","Tee","32","65","61","70","17.4","49","8","90","80","-42","4.17","0.15","23.8","","",""
"April 30, 2020 / 7:44:34 PM","Bat 33 in / 30 oz","Right","Tee","55","67","60","73","17.2","72","9","90","81","-44","4.65","0.15","23.6","","",""
"April 30, 2020 / 7:44:21 PM","Bat 33 in / 30 oz","Right","Tee","27","64","54","68.5","14.4","44","8","88","80","-44","3.79","0.16","22.2","","",""
"April 30, 2020 / 7:44:09 PM","Bat 33 in / 30 oz","Right","Tee","53","73","42","67","9.6","70","5","94","86","-47","3.67","0.16","21.9","","",""
"April 30, 2020 / 7:43:47 PM","Bat 33 in / 30 oz","Right","Tee","32","67","54","69","14.4","49","10","93","82","-45","3.99","0.15","23.1","","",""
"April 30, 2020 / 7:39:41 PM","Bat 33 in / 30 oz","Right","Tee","54","71","61","70.8","17.6","71","4","89","83","-45","4.44","0.14","23.3","","",""
"April 30, 2020 / 7:39:25 PM","Bat 33 in / 30 oz","Right","Tee","25","65","48","66.4","11.9","41","9","94","82","-44","3.51","0.16","22.2","","",""
"April 30, 2020 / 7:39:11 PM","Bat 33 in / 30 oz","Right","Tee","31","63","51","74.1","13.3","48","11","95","82","-41","4.61","0.15","23.3","","",""
"April 30, 2020 / 7:38:50 PM","Bat 33 in / 30 oz","Right","Tee","46","74","58","70.5","16.3","62","4","91","84","-45","4.23","0.15","23.2","","",""
"April 30, 2020 / 7:38:29 PM","Bat 33 in / 30 oz","Right","Tee","28","66","50","64.7","12.9","44","8","96","84","-43","3.25","0.16","22.7","","",""
"April 30, 2020 / 7:38:14 PM","Bat 33 in / 30 oz","Right","Tee","35","56","50","68.2","12.7","52","8","86","75","-42","3.75","0.16","21.4","","",""
"April 30, 2020 / 7:37:59 PM","Bat 33 in / 30 oz","Right","Tee","35","54","49","67.6","12.6","52","10","83","76","-41","3.68","0.16","22.2","","",""
"April 30, 2020 / 7:37:46 PM","Bat 33 in / 30 oz","Right","Tee","28","70","49","67.1","12.5","44","8","91","83","-43","3.64","0.16","21.9","","",""
"April 30, 2020 / 7:37:33 PM","Bat 33 in / 30 oz","Right","Tee","39","61","49","64.2","12.4","56","10","86","80","-44","3.28","0.16","21.6","","",""
"April 30, 2020 / 7:37:20 PM","Bat 33 in / 30 oz","Right","Tee","44","72","39","64.3","8.6","60","8","96","87","-45","3.29","0.16","21","","",""
"April 30, 2020 / 7:37:02 PM","Bat 33 in / 30 oz","Right","Tee","55","49","39","63","8.2","72","7","78","76","-47","3.12","0.16","20.2","","",""
"April 30, 2020 / 7:36:51 PM","Bat 33 in / 30 oz","Right","Tee","30","72","40","59.5","8.8","46","9","90","84","-47","2.62","0.17","18.3","","",""
"April 30, 2020 / 7:36:32 PM","Bat 33 in / 30 oz","Right","Tee","34","71","39","60.9","8.5","50","8","90","83","-45","2.71","0.17","20","","",""
"April 30, 2020 / 7:35:21 PM","Bat 33 in / 30 oz","Right","Tee","80","78","28","34.7","3.7","97","7","90","94","-51","0.66","0.23","13.2","","",""
"April 30, 2020 / 7:35:10 PM","Bat 33 in / 30 oz","Right","Tee","69","80","29","36.5","4.1","86","5","87","91","-51","0.71","0.24","14","","",""
"April 30, 2020 / 7:35:00 PM","Bat 33 in / 30 oz","Right","Tee","57","59","34","48.8","6.3","74","7","103","91","-47","1.6","0.19","23.2","","",""
"April 30, 2020 / 7:34:50 PM","Bat 33 in / 30 oz","Right","Tee","58","75","38","47.1","7.9","75","11","95","88","-50","1.49","0.19","23.2","","",""
"April 30, 2020 / 7:34:40 PM","Bat 33 in / 30 oz","Right","Tee","59","80","41","51.9","9.4","76","5","94","89","-49","1.75","0.2","26.9","","",""
"April 30, 2020 / 7:34:28 PM","Bat 33 in / 30 oz","Right","Tee","61","58","34","48","6.5","78","12","104","91","-48","1.52","0.19","23.3","","",""
"April 30, 2020 / 7:34:16 PM","Bat 33 in / 30 oz","Right","Tee","54","57","28","44.8","3.9","71","11","105","91","-51","1.25","0.2","20.8","","",""
"April 30, 2020 / 7:34:04 PM","Bat 33 in / 30 oz","Right","Tee","50","59","25","43.8","2.7","67","17","102","87","-49","1.11","0.22","19.4","","",""
"April 30, 2020 / 7:33:54 PM","Bat 33 in / 30 oz","Right","Tee","51","44","28","41.1","3.7","68","11","109","102","-42","1.01","0.21","17.8","","",""
"April 29, 2020 / 6:24:33 PM","Bat 33 in / 30 oz","Right","Tee","34","63","49","67.4","12.7","51","11","90","79","-42","3.57","0.16","22","","",""
"April 29, 2020 / 6:24:18 PM","Bat 33 in / 30 oz","Right","Tee","37","55","49","64.9","12.4","54","7","84","77","-43","3.31","0.16","21.2","","",""
"April 29, 2020 / 6:24:05 PM","Bat 33 in / 30 oz","Right","Tee","49","52","54","66.9","14.4","66","7","82","76","-44","3.44","0.17","21.6","","",""
"April 29, 2020 / 6:23:46 PM","Bat 33 in / 30 oz","Right","Tee","30","59","63","69","18.2","47","7","85","79","-47","3.94","0.15","23.4","","",""
"April 29, 2020 / 6:23:14 PM","Bat 33 in / 30 oz","Right","Tee","66","71","79","73.5","24.9","83","-2","87","83","-47","4.99","0.14","25.5","","",""
"April 29, 2020 / 6:23:02 PM","Bat 33 in / 30 oz","Right","Tee","32","60","62","71.2","17.8","48","10","99","83","-43","4.25","0.15","23.6","","",""
"April 29, 2020 / 6:22:48 PM","Bat 33 in / 30 oz","Right","Tee","45","65","63","69","18.2","62","13","92","80","-43","3.99","0.15","23.4","","",""
"April 29, 2020 / 6:22:36 PM","Bat 33 in / 30 oz","Right","Tee","30","60","55","69.7","15","46","10","97","82","-44","3.87","0.16","23.6","","",""
"April 29, 2020 / 6:20:08 PM","Bat 33 in / 30 oz","Right","Tee","56","65","67","69.3","19.7","73","8","96","83","-43","3.98","0.15","23.8","","",""
"April 29, 2020 / 6:19:49 PM","Bat 33 in / 30 oz","Right","Tee","40","67","56","65.9","15.3","57","8","96","85","-43","3.42","0.16","23.1","","",""
"April 29, 2020 / 6:19:22 PM","Bat 33 in / 30 oz","Right","Tee","43","62","50","66.3","12.7","59","13","98","84","-45","3.54","0.16","22.1","","",""
"April 29, 2020 / 6:18:59 PM","Bat 33 in / 30 oz","Right","Tee","64","57","45","64.1","10.7","81","10","81","81","-47","3.16","0.17","21.5","","",""
"April 29, 2020 / 6:18:45 PM","Bat 33 in / 30 oz","Right","Tee","30","62","51","65.8","13.2","47","9","88","79","-47","3.41","0.16","22.5","","",""
"April 29, 2020 / 6:18:25 PM","Bat 33 in / 30 oz","Right","Tee","52","59","60","67.7","17.1","69","9","103","88","-41","3.75","0.16","23.2","","",""
"April 29, 2020 / 6:17:48 PM","Bat 33 in / 30 oz","Right","Tee","24","67","52","68.5","13.7","40","9","92","81","-45","3.65","0.16","22.8","","",""
"April 29, 2020 / 6:17:31 PM","Bat 33 in / 30 oz","Right","Tee","45","64","51","68","13.4","62","3","100","89","-48","3.78","0.16","22.3","","",""
"April 29, 2020 / 6:17:16 PM","Bat 33 in / 30 oz","Right","Tee","28","67","60","65.8","17","44","9","94","83","-43","3.49","0.16","23.7","","",""
"April 29, 2020 / 6:14:59 PM","Bat 33 in / 30 oz","Right","Tee","52","65","50","65.7","12.9","69","8","85","83","-46","3.36","0.16","22.5","","",""
"April 29, 2020 / 6:14:47 PM","Bat 33 in / 30 oz","Right","Tee","31","50","53","69.5","14.2","47","8","79","77","-45","3.76","0.16","22.9","","",""
"April 29, 2020 / 6:14:34 PM","Bat 33 in / 30 oz","Right","Tee","45","58","54","65.4","14.4","62","3","83","80","-49","3.45","0.16","22.4","","",""
"April 29, 2020 / 6:14:19 PM","Bat 33 in / 30 oz","Right","Tee","55","50","60","67.2","16.8","71","3","77","78","-47","3.74","0.15","23.2","","",""
"April 29, 2020 / 6:14:07 PM","Bat 33 in / 30 oz","Right","Tee","35","66","55","65.2","15","52","6","87","82","-49","3.39","0.16","22.8","","",""
"April 29, 2020 / 6:13:49 PM","Bat 33 in / 30 oz","Right","Tee","29","69","55","68.3","15","46","8","92","82","-48","3.76","0.16","23.6","","",""
"April 29, 2020 / 6:13:38 PM","Bat 33 in / 30 oz","Right","Tee","39","48","57","71.3","15.6","55","8","79","74","-43","4.16","0.16","22.6","","",""
"April 29, 2020 / 6:13:24 PM","Bat 33 in / 30 oz","Right","Tee","40","56","47","64.6","11.7","56","8","82","80","-50","3.24","0.16","22.9","","",""
"April 29, 2020 / 6:13:09 PM","Bat 33 in / 30 oz","Right","Tee","48","77","52","66","13.7","64","8","91","85","-49","3.51","0.16","22.6","","",""
"April 29, 2020 / 6:12:57 PM","Bat 33 in / 30 oz","Right","Tee","45","76","47","68","11.6","62","5","88","85","-49","3.64","0.16","23.2","","",""
"April 29, 2020 / 6:12:44 PM","Bat 33 in / 30 oz","Right","Tee","33","49","59","68.2","16.7","50","8","78","76","-47","3.75","0.16","22.8","","",""
"April 29, 2020 / 6:12:30 PM","Bat 33 in / 30 oz","Right","Tee","44","55","61","67.3","17.5","60","8","83","78","-46","3.66","0.16","23","","",""
"April 29, 2020 / 6:12:07 PM","Bat 33 in / 30 oz","Right","Tee","24","68","40","66.1","8.6","41","13","90","82","-46","3.32","0.17","22","","",""
"April 29, 2020 / 6:11:53 PM","Bat 33 in / 30 oz","Right","Tee","45","75","58","66","16.2","62","6","88","85","-49","3.51","0.16","23.6","","",""
"April 29, 2020 / 6:11:41 PM","Bat 33 in / 30 oz","Right","Tee","42","45","55","65.6","15.1","59","7","75","75","-47","3.47","0.16","22.7","","",""
"April 29, 2020 / 6:11:27 PM","Bat 33 in / 30 oz","Right","Tee","42","64","54","65.8","14.7","59","7","86","81","-47","3.45","0.16","22.8","","",""
"April 29, 2020 / 6:11:13 PM","Bat 33 in / 30 oz","Right","Tee","42","61","59","66.7","16.8","59","6","85","80","-48","3.68","0.15","22.7","","",""
"April 29, 2020 / 6:10:59 PM","Bat 33 in / 30 oz","Right","Tee","45","48","53","64","14.1","61","4","76","76","-48","3.27","0.16","22","","",""
"April 29, 2020 / 6:10:45 PM","Bat 33 in / 30 oz","Right","Tee","36","57","49","63.2","12.7","53","6","83","79","-47","3.18","0.16","21.9","","",""
"April 29, 2020 / 6:10:34 PM","Bat 33 in / 30 oz","Right","Tee","49","64","39","64.2","8.5","66","6","85","82","-49","3.24","0.16","21.9","","",""
"April 29, 2020 / 6:10:20 PM","Bat 33 in / 30 oz","Right","Tee","37","61","47","62.4","11.7","54","7","84","81","-48","2.99","0.17","21.2","","",""
"April 29, 2020 / 6:10:09 PM","Bat 33 in / 30 oz","Right","Tee","40","58","47","61.7","11.8","57","5","84","79","-45","2.89","0.17","20.9","","",""
"April 29, 2020 / 6:09:58 PM","Bat 33 in / 30 oz","Right","Tee","51","55","49","64.1","12.5","67","5","82","79","-46","3.15","0.17","21.2","","",""
"April 29, 2020 / 6:09:43 PM","Bat 33 in / 30 oz","Right","Tee","24","60","34","60.6","6.4","40","7","86","79","-47","2.63","0.18","20.8","","",""
"April 29, 2020 / 6:09:21 PM","Bat 33 in / 30 oz","Right","Tee","53","80","33","56.7","5.8","70","8","92","87","-45","2.38","0.17","19.2","","",""
"April 27, 2020 / 1:15:49 PM","Bat 33 in / 30 oz","Right","Tee","31","65","38","61.4","8.1","48","10","98","86","-45","2.64","0.18","20.9","","",""
"April 27, 2020 / 1:15:38 PM","Bat 33 in / 30 oz","Right","Tee","50","67","56","66.3","15.5","67","8","93","82","-43","3.5","0.16","22.3","","",""
"April 27, 2020 / 1:15:25 PM","Bat 33 in / 30 oz","Right","Tee","46","66","49","67.9","12.3","62","7","92","81","-41","3.59","0.16","22.5","","",""
"April 27, 2020 / 1:15:13 PM","Bat 33 in / 30 oz","Right","Tee","39","54","52","63.7","13.9","56","10","83","76","-43","3.23","0.16","21.5","","",""
"April 27, 2020 / 1:15:01 PM","Bat 33 in / 30 oz","Right","Tee","35","65","51","64.5","13.5","51","10","91","80","-40","3.28","0.16","22.7","","",""
"April 27, 2020 / 1:14:50 PM","Bat 33 in / 30 oz","Right","Tee","22","67","52","63.9","13.5","38","10","92","82","-41","3.13","0.17","21.3","","",""
"April 27, 2020 / 1:14:34 PM","Bat 33 in / 30 oz","Right","Tee","41","70","46","63","11.4","57","7","92","83","-44","3.01","0.17","21.8","","",""
"April 27, 2020 / 1:14:17 PM","Bat 33 in / 30 oz","Right","Tee","59","50","44","58.6","10.6","76","8","78","78","-46","2.6","0.17","21.2","","",""
"April 27, 2020 / 1:14:05 PM","Bat 33 in / 30 oz","Right","Tee","28","63","51","63.8","13.1","45","8","99","86","-44","3.16","0.16","21.4","","",""
"April 27, 2020 / 1:13:49 PM","Bat 33 in / 30 oz","Right","Tee","37","69","41","63.3","9.2","53","11","93","83","-41","3.08","0.17","21.8","","",""
"April 27, 2020 / 1:13:37 PM","Bat 33 in / 30 oz","Right","Tee","31","66","52","62.3","13.9","47","8","92","81","-43","3.05","0.16","21.5","","",""
"April 27, 2020 / 1:13:20 PM","Bat 33 in / 30 oz","Right","Tee","30","65","45","64.1","10.8","46","6","90","81","-45","3.12","0.17","21.9","","",""
"April 27, 2020 / 1:13:06 PM","Bat 33 in / 30 oz","Right","Tee","39","63","47","61.5","11.5","55","8","87","80","-47","2.77","0.17","21","","",""
"April 27, 2020 / 1:12:51 PM","Bat 33 in / 30 oz","Right","Tee","43","72","38","65.8","8.1","59","8","92","84","-46","3.33","0.17","21.3","","",""
"April 27, 2020 / 1:12:39 PM","Bat 33 in / 30 oz","Right","Tee","41","75","37","60.6","7.5","58","8","91","85","-48","2.6","0.18","20.2","","",""
"April 27, 2020 / 1:12:28 PM","Bat 33 in / 30 oz","Right","Tee","60","79","45","62.2","10.7","77","1","91","86","-46","3.01","0.16","21.4","","",""
"April 27, 2020 / 1:12:18 PM","Bat 33 in / 30 oz","Right","Tee","53","51","54","62.1","14.6","70","11","81","75","-46","3","0.16","21.3","","",""
"April 27, 2020 / 1:12:01 PM","Bat 33 in / 30 oz","Right","Tee","33","78","48","62.4","12.2","49","6","91","86","-43","3.03","0.16","21.9","","",""
"April 27, 2020 / 1:11:50 PM","Bat 33 in / 30 oz","Right","Tee","34","67","30","57.9","4.8","51","10","90","82","-43","2.3","0.19","19.4","","",""
